,country_code,country_name,location
592,,The Netherlands,rotterdam
593,,Croatia,rovinj
594,,Russia,russia
595,,Rwanda,rwanda
596,,The Netherlands,s-hertogenbosch
597,,Germany,saarlouis
598,,Spain,sabadell
599,,United States of America,sacramento
600,,France,saint brieuc
601,,France,saint dizier
602,,Israel,sajur
603,,United States of America,salinas
604,,El Salvador,salvador
605,,Austria,salzburg
606,,Uzbekistan,samarkand
607,,Italy,san benedetto
608,,Italy,san benedetto del tronto
609,,United States of America,san francisco
610,,United States of America,san jose
611,,United States of America,san juan
612,,Mexico,san luis potosi
613,,San Marino,san marino
614,,Argentina,san remo
615,,Spain,san sebastian
616,,Italy,santa cristina val gardena
617,,Spain,santa cruz sierra
618,,Italy,santa margherita pula
619,,El Salvador,santa tecla
620,,Spain,santander
621,,Costa Rica,santiago
622,,Ecuador,santiago2
623,,Dominican Republic,santo domingo
624,,Brazil,santos
625,,Portugal,sao bras alportel
626,,Brazil,sao jose rio preto
627,,Brazil,sao leopoldo
628,,Brazil,sao paulo
629,,sao paulo2,sao paulo2
630,,sao paulo3,sao paulo3
631,,sao paulo4,sao paulo4
632,,Bosnia and Herzegovina,sarajevo
633,,Russia,saransk
634,,United States of America,sarasota
635,,France,sarreguemines
636,,Saudi Arabia,saudi arabia
637,,United States,savannah
638,,Netherlands,scheveningen
639,,Switzerland,schlieren
640,,Spain,segovia
641,,Senegal,senegal
642,,South Korea,seoul
643,,Kosovo,serbia
644,,Portugal,setubal
645,,Spain,sevilla
646,,Spain,seville
647,,China,shanghai
648,,Philippines,shanghai masters
649,,Egypt,sharm sheikh
650,,China,shenzhen
651,,United Kingdom,shrewsbury
652,,Kazakhstan,shymkent
653,,Romania,sibiu
654,,Singapore,singapore
655,,Portugal,sintra
656,,slovak rep,slovak rep
657,,Slovakia,slovak republic
658,,Slovakia,slovakia
659,,Slovenia,slovenia
660,,Bulgaria,sofia
661,,France,sophia antipolis
662,,Poland,sopot
663,,South Africa,south africa
664,,Bulgaria,sozopol
665,,Spain,spain
666,,Spain,spain lanzarote
667,,Spain,spain tenerife
668,,Sri Lanka,sri lanka
669,,France,st. brieuc
670,,Russia,st. petersburg
671,,France,st. remy
672,,France,st.brieuc
673,,Russia,st.petersburg
674,,Sweden,stockholm
675,,United States of America,stockton
676,,Germany,stuttgart
677,,Sudan,sudan
678,,United Kingdom,sunderland
679,,United States,sunrise
680,,United Kingdom,surbiton
681,,China,suzhou
682,,Sweden,sweden
683,,Switzerland,switzerland
684,,Australia,sydney
685,,sydney1,sydney1
686,,Poland,szczecin
687,,Hungary,szekesfehervar
688,,Tunisia,tabarka
689,,Taiwan,taipei
690,,United States of America,tallahassee
691,,Finland,tampere
692,,Morocco,tanger
693,,Romania,targu mures
694,,Spain,tarragona
695,,Uzbekistan,tashkent
696,,Portugal,tavira
697,,Vietnam,tay ninh
698,,Georgia,tbilisi
699,,Israel,tel aviv
700,,Georgia,telavi
701,,Spain,telde gran canaria
702,,Austria,telfs
703,,United States of America,tempe
704,,Thailand,thailand
705,,China,tianjin
706,,Haiti,tiburon
707,,Argentina,tigre
708,,Romania,timisoara
709,,Italy,todi
710,,Togo,togo
711,,Japan,tokyo
712,,Australia,toowoomba
713,,Italy,torino
714,,France,toulouse
715,,tour finals,tour finals
716,,Japan,toyota
717,,Italy,trani
718,,Australia,traralgon
719,,traralgon2,traralgon2
720,,Italy,trento
721,,Germany,trier
722,,Italy,trieste
723,,Slovakia,trnava
724,,Germany,troisdorf
725,,France,troyes
726,,Japan,tsukuba
727,,United States,tucson
728,,United States of America,tulsa
729,,Tunisia,tunis
730,,Tunisia,tunisia
731,,Italy,turin
732,,Turkey,turkey
733,,Russia,tyumen
734,,Germany,ueberlingen
735,,Uganda,uganda
736,,Ukraine,ukraine
737,,Croatia,umag
738,,United Arab Emirates,united arab emirates
739,,France,uriage
740,,Uruguay,uruguay
741,,United States,usa
742,,usa f16a,usa f16a
743,,usa f16b,usa f16b
744,,United States of America,usa f19b
745,,usa f28b,usa f28b
746,,Kazakhstan,ust kamenogorsk
747,,Uzbekistan,uzbekistan
748,,United States of America,vale lobo
749,,Spain,valencia
750,,Spain,valldoreix
751,,Canada,vancouver
752,,Bulgaria,varna
753,,France,veigy foncenex
754,,Venezuela,venezuela
755,,Italy,vercelli
756,,United States,vero beach
757,,Australia,vic
758,,Italy,vicenza
759,,Austria,vienna
760,,Vietnam,vietnam
761,,Spain,vigo
762,,Mexico,villa allende
763,,Spain,villena
764,,France,villers les nancy
765,,Lithuania,vilnius
766,,Chile,vina del mar
767,,Austria,vogau
768,,United States of America,waco
769,,United States of America,washington
770,,Austria,wels
771,,United States,west lakes
772,,United Kingdom,weston
773,,Germany,wetzlar
774,,United States of America,wichita
775,,United Kingdom,wimbledon
776,,United States,winnetka
777,,Canada,winnipeg
778,,United States of America,winston salem
779,,United States of America,winston-salem
780,,Germany,wolfsburg
781,,Poland,wroclaw
782,,China,wuhai
783,,China,wuhan
784,,Spain,xativa
785,,South Korea,yeongwol
786,,China,yinchuan
787,,Japan,yokkaichi
788,,Japan,yokohama
789,,Sweden,ystad
790,,Croatia,zagreb
791,,China,zhangjiagang
792,,China,zhuhai
793,,Zimbabwe,zimbabwe
794,,Serbia,zlatibor
